"states","indicators","Unit","Date","Value"
"Gombe","RICE (IMPORTED)","","2006",85910
"Gombe","MAIZE FLOUR","","2006",2080
"Gombe","CASSAVA FLOUR","","2006",2040
"Gombe","CASSAVA","","2006",8078
"Gombe","Cassava (Akpu)","","2006",630
"Gombe","FRUITS (N)","","2006",54759
"Gombe","VEGETABLE (N)","","2006",278458
"Gombe","Fish fresh","","2006",7677
"Gombe","Fish frozen","","2006",1665
"Gombe","Dried fish","","2006",46205
"Gombe","fried fish","","2006",9825
"Gombe","Smoked fish","","2006",5892
"Gombe","Bush meat","","2006",4594
"Gombe","Other Meat","","2006",18448
"Gombe","OTHER ROOT/TUBER","","2006",9998
"Imo","MAIZE (WHITE)","","2006",23258
"Imo","MAIZE (YELLOW)","","2006",32134
"Imo","RICE (LOCAL)","","2006",30307
"Imo","RICE (AGRIC)","","2006",50674
"Imo","RICE (IMPORTED)","","2006",314450
"Imo","MAIZE FLOUR","","2006",4445
"Imo","CASSAVA FLOUR","","2006",56491
"Imo","CASSAVA","","2006",164174
"Imo","Cassava (Akpu)","","2006",32139
"Imo","FRUITS (N)","","2006",190500
"Imo","VEGETABLE (N)","","2006",345142
"Imo","Fish fresh","","2006",27509
"Imo","Fish frozen","","2006",114130
"Imo","Dried fish","","2006",236172
"Imo","fried fish","","2006",26124
"Imo","Smoked fish","","2006",14901
"Imo","Bush meat","","2006",8041
"Imo","Other Meat","","2006",66408
"Imo","OTHER ROOT/TUBER","","2006",6167
"Jigawa","MAIZE (WHITE)","","2006",14955
"Jigawa","MAIZE (YELLOW)","","2006",1532
"Jigawa","RICE (LOCAL)","","2006",125631
"Jigawa","RICE (AGRIC)","","2006",18750
"Jigawa","RICE (IMPORTED)","","2006",19628
"Jigawa","MAIZE FLOUR","","2006",3421
"Jigawa","CASSAVA FLOUR","","2006",1332
"Jigawa","CASSAVA","","2006",18916
"Jigawa","Cassava (Akpu)","","2006",1267
"Jigawa","FRUITS (N)","","2006",64331
"Jigawa","VEGETABLE (N)","","2006",248601
"Jigawa","Fish fresh","","2006",22349
"Jigawa","Fish frozen","","2006",624
"Jigawa","Dried fish","","2006",38289
"Jigawa","fried fish","","2006",3059
"Jigawa","Smoked fish","","2006",409
"Jigawa","Bush meat","","2006",2313
"Jigawa","Other Meat","","2006",39465
"Jigawa","OTHER ROOT/TUBER","","2006",522
"Kaduna","MAIZE (WHITE)","","2006",446092
"Kaduna","MAIZE (YELLOW)","","2006",32852
"Kaduna","RICE (LOCAL)","","2006",291212
"Kaduna","RICE (AGRIC)","","2006",135304
"Kaduna","RICE (IMPORTED)","","2006",150130
"Kaduna","MAIZE FLOUR","","2006",26002
"Kaduna","CASSAVA FLOUR","","2006",9715
"Kaduna","CASSAVA","","2006",42865
"Kaduna","Cassava (Akpu)","","2006",1232
"Kaduna","FRUITS (N)","","2006",70514
"Kaduna","VEGETABLE (N)","","2006",621198
"Kaduna","Fish fresh","","2006",38344
"Kaduna","Fish frozen","","2006",64790
"Kaduna","Dried fish","","2006",42582
"Kaduna","fried fish","","2006",29674
"Kaduna","Smoked fish","","2006",11579
"Kaduna","Bush meat","","2006",2450
"Kaduna","Other Meat","","2006",6672
"Kaduna","OTHER ROOT/TUBER","","2006",10192
"Kano","MAIZE (WHITE)","","2006",423070
"Kano","MAIZE (YELLOW)","","2006",16266
"Kano","RICE (LOCAL)","","2006",282324
"Kano","RICE (AGRIC)","","2006",55455
"Kano","RICE (IMPORTED)","","2006",323127
"Kano","MAIZE FLOUR","","2006",1398
"Kano","CASSAVA FLOUR","","2006",6812
"Kano","CASSAVA","","2006",39306
"Kano","Cassava (Akpu)","","2006",80
"Kano","FRUITS (N)","","2006",80927
"Kano","VEGETABLE (N)","","2006",593960
"Kano","Fish fresh","","2006",27817
