"states","indicators","Unit","Date","Value"
"Kogi","Cocoa beans","","2011",116.883116883117
"Kogi","Cashew nuts","","2010",85.1617647058824
"Kogi","Cashew nuts","","2011",84.1475095785441
"Kogi","Area 12","","2010",62.4933235619263
"Kogi","Area 12","","2011",64.1694014185102
"Kogi","Prod 12","","2010",52.3668950975224
"Kogi","Prod 12","","2011",54.3951177973318
"Kogi","Area 9","","2010",3.47606006232883
"Kogi","Area 9","","2011",3.49838511663047
"Kogi","Prod 9","","2010",0.81154984185287
"Kogi","Prod 9","","2011",0.986450362207938
"Kogi","Area 10","","2010",3.56114417354579
"Kogi","Area 10","","2011",3.83507834074162
"Kogi","Prod 10","","2010",1.04852686308492
"Kogi","Prod 10","","2011",1.0629693818602
"Kogi","Palm oil 2","","2010",187.541176470588
"Kogi","Palm oil 2","","2011",117.262766068994
"Kogi","Area 14","","2010",4.99446583253128
"Kogi","Area 14","","2011",4.83730256663376
"Kogi","Prod 14","","2010",3.3388450148075
"Kogi","Prod 14","","2011",3.5218450148075
"Kogi","Kola nuts","","2010",202.380952380952
"Kogi","Kola nuts","","2011",206.190476190476
"Kogi","Area 7","","2010",0.23610730906105
"Kogi","Area 7","","2011",0.2392554065
"Kogi","Prod 7","","2010",1.85134980880087
"Kogi","Prod 7","","2011",1.7896381485
"Kwara","Cocoa beans","","2010",120.333333333333
"Kwara","Cocoa beans","","2011",132
"Kwara","Cashew nuts","","2010",68.1547619047619
"Kwara","Cashew nuts","","2011",67.2743974132863
"Kwara","Area 12","","2010",5.32127641074689
"Kwara","Area 12","","2011",5.63429267020259
"Kwara","Prod 12","","2010",2.84659989457037
"Kwara","Prod 12","","2011",3.06556911722963
"Kwara","Area 9","","2010",32.9473038058362
"Kwara","Area 9","","2011",31.4923033336481
"Kwara","Prod 9","","2010",40.3997551270279
"Kwara","Prod 9","","2011",38.9812059993878
"Kwara","Area 10","","2010",4.77058936456134
"Kwara","Area 10","","2011",5.1375577772199
"Kwara","Prod 10","","2010",1.40802178757118
"Kwara","Prod 10","","2011",1.42741602706941
"Kwara","Area 7","","2010",2.05310703531344
"Kwara","Area 7","","2011",2.0804817958
"Kwara","Prod 7","","2010",9.08552594030021
"Kwara","Prod 7","","2011",8.7826750756
